domain,fake,satire,bias,conspiracy,state,junksci,hate,clickbait,unreliable,political,reliable
redcountry.us,3,0,0,0,0,0,0,0,0,0,0
redflagnews.com,0,0,13,0,0,0,0,0,0,0,0
redrocktribune.com,20,0,0,0,0,0,0,0,0,0,0
redstate.com,0,0,0,0,0,0,0,0,0,3116,0
reductress.com,0,6,0,0,0,0,0,0,0,0,0
religionmind.com,15,0,0,0,0,0,0,0,0,0,0
remedydaily.com,0,0,0,0,0,0,0,3,0,0,0
rense.com,0,0,0,623,0,0,0,0,0,0,0
resistancereport.com,0,0,0,0,0,0,0,0,0,137,0
responsibletechnology.org,0,0,0,0,0,31,0,0,0,0,0
returnofkings.com,0,0,0,0,0,0,715,0,0,0,0
revolutions2040.com,0,0,0,0,0,98,0,0,0,0,0
rhotv.com,14,0,0,0,0,0,0,0,0,0,0
rickwells.us,135,0,0,0,0,0,0,0,0,0,0
rightalert.com,0,0,27,0,0,0,0,0,0,0,0
rightwingnews.com,0,0,738,0,0,0,0,0,0,0,0
rinf.com,0,0,0,0,0,0,0,0,0,3225,0
rockcitytimes.com,0,3,0,0,0,0,0,0,0,0,0
ronpaulinstitute.org,0,0,0,0,0,0,0,0,0,109,0
rumormillnews.com,0,0,0,2,0,0,0,0,0,0,0
russia-direct.org,0,0,0,0,0,0,0,0,0,0,0
russia-insider.com,0,0,644,0,0,0,0,0,0,0,0
scrappleface.com,0,27,0,0,0,0,0,0,0,0,0
secretsofthefed.com,0,0,0,87,0,0,0,0,0,0,0
sensationalisttimes.com,0,5,0,0,0,0,0,0,0,0,0
shadowproof.com,0,0,0,0,0,0,0,0,0,0,0
shareblue.com,0,0,0,0,0,0,0,0,100,0,0
sheepkillers.com,0,0,0,8,0,0,0,0,0,0,0
shiftfrequency.com,0,0,0,0,0,0,0,0,0,0,0
shoebat.com,0,0,0,996,0,0,0,0,0,0,0
shtfplan.com,0,0,0,0,0,0,0,0,0,0,0
silentmajoritypatriots.com,0,0,0,0,0,0,0,0,0,0,0
skeptiko.com,0,0,0,11,0,0,0,0,0,0,0
smag31.com,13,0,0,0,0,0,0,0,0,0,0
sonsoflibertyradio.com,0,0,0,3,0,0,0,0,0,0,0
sott.net,0,0,0,0,0,0,0,0,0,0,0
southfront.org,0,0,0,0,0,0,0,0,0,0,0
speld.nl,0,1,0,0,0,0,0,0,0,0,0
sports.yahoo.com,0,0,0,0,0,0,0,0,0,0,604
sportspickle.com,0,15,0,0,0,0,0,0,0,0,0
sputniknews.com,0,0,37229,0,0,0,0,0,0,0,0
stneotscitizen.com,0,24,0,0,0,0,0,0,0,0,0
stormcloudsgathering.com,3,0,0,0,0,0,0,0,0,0,0
strategic-culture.org,0,0,0,0,0,0,0,0,0,0,0
stuppid.com,0,26,0,0,0,0,0,0,0,0,0
success-street.com,11,0,0,0,0,0,0,0,0,0,0
surenews.com,0,0,0,0,0,0,0,0,0,0,0
survivopedia.com,0,0,0,0,0,0,0,0,0,0,0
teaparty.org,126,0,0,0,0,0,0,0,0,0,0
